"","iso_code","continent","location","year","month","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"20328","ITA","Europe","Italy",2020,5,16,223885,789,957.143,31610,242,201.286,3702.915,13.05,15.831,522.809,4.003,3.329,40657,1899767,31.421,0.672,36384,0.602,38.013,0.026,"people tested",66.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.88
"10341","DEU","Europe","Germany",2020,5,18,174697,342,731.714,7935,21,74,2085.089,4.082,8.733,94.708,0.251,0.883,NA,NA,NA,NA,60193,0.718,82.263,0.012,"tests performed",61.57,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936
"40491","URY","South America","Uruguay",2020,3,24,162,4,19,0,0,0,46.636,1.152,5.47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",57.41,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.804
"15616","GIN","Africa","Guinea",2020,7,26,6927,60,62.286,42,0,0.429,527.458,4.569,4.743,3.198,0,0.033,NA,NA,NA,NA,NA,NA,NA,NA,"",69.44,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,0.459
"10458","DEU","Europe","Germany",2020,9,12,258480,1630,1354.714,9347,5,3.286,3085.078,19.455,16.169,111.561,0.06,0.039,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936
"41042","UZB","Asia","Uzbekistan",2020,7,11,12206,483,386.571,55,3,3.714,364.694,14.431,11.55,1.643,0.09,0.111,NA,NA,NA,NA,NA,NA,NA,NA,"",64.35,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.71
"32042","PNG","Oceania","Papua New Guinea",2020,4,8,2,1,0.143,0,0,0,0.224,0.112,0.016,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",76.85,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,0.544
"12995","ETH","Africa","Ethiopia",2020,4,30,130,4,2,3,0,0,1.131,0.035,0.017,0.026,0,0,1408,17842,0.155,0.012,1015,0.009,507.5,0.002,"tests performed",80.56,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463
"41664","VGB","North America","British Virgin Islands",2020,3,31,3,1,NA,0,0,NA,99.216,33.072,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",72.22,30237,207.973,NA,NA,NA,NA,NA,NA,13.67,NA,NA,NA,NA,79.07,NA
"22939","LAO","Asia","Laos",2020,9,5,22,0,0,0,0,0,3.024,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",32.41,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.601
