"","iso_code","continent","location","year","month","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"26007","MDV","Asia","Maldives",2020,7,12,2664,47,32.714,13,0,0.429,4928.387,86.95,60.521,24.05,0,0.793,1602,61819,114.365,2.964,812,1.502,24.821,0.04,"samples tested",NA,540542,1454.433,30.6,4.12,2.875,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,0.717
"32941","PRY","South America","Paraguay",2020,8,31,17195,721,566,308,14,14.714,2410.786,101.086,79.355,43.182,1.963,2.063,2296,192465,26.984,0.322,2402,0.337,4.244,0.236,"tests performed",81.48,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.702
"35381","SLV","North America","El Salvador",2020,6,18,4066,125,113.143,82,4,2.571,626.869,19.272,17.444,12.642,0.617,0.396,2419,135570,20.901,0.373,2441,0.376,21.574,0.046,"tests performed",90.74,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
"6310","BTN","Asia","Bhutan",2020,4,28,7,0,0.143,0,0,0,9.072,0,0.185,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",83.33,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.612
"35917","SRB","Europe","Serbia",2020,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,0.007,0,NA,NA,NA,NA,"people tested",13.89,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.787
"22400","KOR","Asia","South Korea",2020,5,22,11142,20,17.714,264,0,0.571,217.324,0.39,0.346,5.149,0,0.011,11537,782132,15.255,0.225,10751,0.21,606.911,0.002,"people tested",39.81,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.903
"9760","CYP","Europe","Cyprus",2020,3,16,30,9,4.286,0,0,0,34.251,10.275,4.893,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",51.85,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.869
"32220","POL","Europe","Poland",2020,3,24,749,115,81.714,8,1,0.571,19.79,3.039,2.159,0.211,0.026,0.015,NA,NA,NA,NA,NA,NA,NA,NA,"",57.41,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.865
"19670","IRQ","Asia","Iraq",2020,9,12,282672,4254,4371,7881,67,74.571,7027.708,105.762,108.671,195.935,1.666,1.854,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,0.685
"3944","BGD","Asia","Bangladesh",2020,7,4,156391,3114,3702.429,1968,42,43.857,949.612,18.908,22.481,11.95,0.255,0.266,14727,835074,5.071,0.089,17139,0.104,4.629,0.216,"samples tested",74.54,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
"18245","IDN","Asia","Indonesia",2020,2,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
"33851","RUS","Europe","Russia",2020,1,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.816
"41395","VCT","North America","Saint Vincent and the Grenadines",2020,6,26,29,0,0,0,0,0,261.386,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,110947,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.723
"30976","OMN","Asia","Oman",2020,4,28,2049,51,77.286,10,0,0.286,401.244,9.987,15.134,1.958,0,0.056,NA,NA,NA,NA,NA,NA,NA,NA,"",92.59,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.821
"16636","GRD","North America","Grenada",2020,9,12,24,0,0,0,0,0,213.297,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.772
"12050","EGY","Africa","Egypt",2020,7,15,83930,929,950.143,4008,73,74.143,820.154,9.078,9.285,39.166,0.713,0.725,NA,NA,NA,NA,NA,NA,NA,NA,"",60.19,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.696
"10533","DJI","Africa","Djibouti",2020,5,30,2914,0,92,20,0,1.429,2949.387,0,93.117,20.243,0,1.446,NA,NA,NA,NA,NA,NA,NA,NA,"",53.7,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,0.476
"12859","EST","Europe","Estonia",2020,6,18,1977,2,2.714,63,0,0,1490.344,1.508,2.046,47.492,0,0,1355,101740,76.696,1.021,1004,0.757,369.895,0.003,"tests performed",37.96,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.871
"35703","SMR","Europe","San Marino",2020,8,20,710,0,0,42,0,0,20920.502,0,0,1237.551,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",33.33,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA
"23752","LIE","Europe","Liechtenstein",2020,3,14,4,0,0.429,0,0,0,104.885,0,11.238,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.916
"13560","FJI","Oceania","Fiji",2020,7,16,26,0,0.714,0,0,0,29.003,0,0.797,0,0,0,NA,6328,7.059,NA,101,0.113,141.4,0.007,"tests performed",50.93,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.741
"39609","TUR","Asia","Turkey",2020,7,12,211981,1016,1053,5344,21,19.714,2513.438,12.047,12.485,63.363,0.249,0.234,45232,3975455,47.137,0.536,48869,0.579,46.409,0.022,"tests performed",63.89,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.791
"10033","CZE","Europe","Czech Republic",2020,3,30,2829,166,237.714,16,5,2.143,264.171,15.501,22.198,1.494,0.467,0.2,5159,49327,4.606,0.482,4199,0.392,17.664,0.057,"tests performed",82.41,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.888
"36161","SSD","Africa","South Sudan",2020,5,24,563,224,46.714,6,0,0.286,50.296,20.011,4.173,0.536,0,0.026,NA,NA,NA,NA,NA,NA,NA,NA,"",73.15,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,0.388
"8565","COL","South America","Colombia",2020,4,26,5142,261,217.286,233,8,9.571,101.056,5.129,4.27,4.579,0.157,0.188,6053,87106,1.712,0.119,3490,0.069,16.062,0.062,"samples tested",87.04,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
"42776","ZAF","Africa","South Africa",2020,7,23,394948,13150,11985.571,5940,572,212.429,6659.193,221.721,202.088,100.154,9.644,3.582,46632,2632106,44.38,0.786,43883,0.74,3.661,0.273,"people tested",80.56,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699
"5917","BRB","North America","Barbados",2020,4,11,67,1,3.143,4,1,0.571,233.148,3.48,10.937,13.919,3.48,1.988,NA,NA,NA,NA,NA,NA,NA,NA,"",88.89,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
"23511","LBY","Africa","Libya",2020,7,24,2314,138,94.571,56,3,1.429,336.764,20.084,13.763,8.15,0.437,0.208,NA,NA,NA,NA,NA,NA,NA,NA,"",90.74,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.706
